product_name,price,quantity,category
Banana,5.52,67,B
Eggs,3.45,19,A
Bread,7.17,25,A
Banana,3.03,38,B
Milk,6.39,8,A
Eggs,2.67,22,C
Bread,6.5,98,A
Eggs,5.17,19,C
Bread,2.44,25,C
Bread,7.27,92,C
Eggs,3.2,35,A
Milk,7.6,36,A
Eggs,6.12,47,B
Milk,3.77,86,A
Milk,9.6,36,C
Milk,7.97,37,C
Bread,5.2,81,B
Banana,5.39,93,A
Milk,1.77,95,B
Banana,7.9,64,B
Apple,2.13,23,B
Bread,8.54,25,A
Milk,7.03,83,C
Banana,8.26,90,C
Milk,9.42,49,A
Bread,3.21,65,A
Milk,3.26,6,B
Eggs,1.99,70,A
Eggs,5.06,17,A
Milk,4.85,36,C
Milk,5.29,22,A
Milk,2.2,4,C
Apple,7.65,14,C
Milk,6.9,51,C
Milk,6.43,2,C
Milk,8.23,18,B
Apple,8.1,95,B
Banana,2.92,75,A
Milk,5.32,78,C
Banana,1.99,0,B
Bread,9.84,89,B
Milk,8.35,99,C
Apple,6.65,63,A
Bread,5.96,44,A
Milk,4.9,5,C
Banana,1.82,43,C
Banana,9.75,8,A
Eggs,9.77,99,B
Bread,5.61,94,B
Eggs,5.3,28,B
